subject,condition,list,order,prime_verb,prime_type,target,response
10,IDIOM,5,5,bum's rush,DO,4_T,P
10,IDIOM,5,6,break,DO,5_T,P
10,IDIOM,5,11,runaround,DO,6_T,P
11,LVC,7,6,advice,PO,11_T,D
11,LVC,7,11,command,PO,12_T,D
11,LVC,7,12,reply,PO,13_T,D
11,LVC,7,2,compliment,DO,15_T,D
11,LVC,7,10,beating,DO,16_T,D
11,LVC,7,14,answer,DO,19_T,OTHER
11,LVC,7,3,aid,PO,20_T,P
11,LVC,7,7,tip,PO,21_T,P
11,LVC,7,1,encouragement,DO,23_T,P
11,LVC,7,4,smile,DO,26_T,P
11,LVC,7,13,scolding,PO,3_T,D
11,LVC,7,5,massage,PO,4_T,D
11,LVC,7,9,hug,DO,5_T,P
11,LVC,7,8,bow,DO,6_T,D
12,LVC,7,3,beating,DO,11_T,P
12,LVC,7,6,aid,PO,12_T,MISSING
12,LVC,7,10,massage,PO,13_T,MISSING
12,LVC,7,7,answer,DO,15_T,D
12,LVC,7,12,smile,DO,16_T,D
12,LVC,7,14,scolding,PO,19_T,D
12,LVC,7,5,encouragement,DO,20_T,D
12,LVC,7,2,hug,DO,21_T,P
12,LVC,7,11,compliment,DO,23_T,D
12,LVC,7,4,command,PO,26_T,P
12,LVC,7,8,reply,PO,3_T,P
12,LVC,7,13,tip,PO,4_T,P
12,LVC,7,1,advice,PO,5_T,P
12,LVC,7,9,bow,DO,6_T,D
13,LVC,7,13,encouragement,DO,11_T,D
13,LVC,7,14,compliment,DO,12_T,D
13,LVC,7,6,massage,PO,13_T,D
13,LVC,7,1,tip,PO,15_T,P
13,LVC,7,9,hug,DO,16_T,D
13,LVC,7,12,answer,DO,19_T,D
13,LVC,7,8,command,PO,20_T,D
13,LVC,7,3,beating,DO,21_T,P
13,LVC,7,2,aid,PO,23_T,P
13,LVC,7,11,smile,DO,26_T,D
13,LVC,7,4,reply,PO,3_T,D
13,LVC,7,10,advice,PO,4_T,D
13,LVC,7,5,scolding,PO,5_T,D
13,LVC,7,7,bow,DO,6_T,D
14,LVC,3,4,compliment,DO,11_T,P
