condition,picture,9-rating
L,L1,0.87
L,L3,1
L,L5,1
L,L7,1
L,L9,0.8
L,L11,0.73
L,L13,0.93
L,L15,1
L,L17,0.93
L,L19,0.73
L,L2,0.8
L,L4,0.93
L,L6,0.93
L,L8,0.93
L,L10,0.87
L,L12,0.93
L,L14,0.93
L,L16,0.87
L,L18,0.93
L,L20,0.8
N,DP1,0.8
N,DP3,0.8
N,DP5,0.8
N,DP7,0.93
N,DP9,0.87
N,DP11,0.33
N,DP13,1
N,DP15,0.6
N,DP17,0.93
N,DP19,1
N,DP2,0.93
N,DP4,0.6
N,DP6,0.87
N,DP8,0.93
N,DP10,0.87
N,DP12,0.73
N,DP14,1
N,DP16,0.8
N,DP18,0.87
N,DP20,0.93
